ID,Mcore,err_Mcore,Tcore,Size
I13079-6218_38,0.46,0.23,30.0,372
I13079-6218_39,1.08,0.54,30.0,2640
I13079-6218_40,0.15,0.08,100.0,1627
I13079-6218_41,0.34,0.17,30.0,897
I13079-6218_42,0.24,0.12,30.0,658
I13079-6218_43,0.37,0.18,100.0,1194
I13079-6218_44,1.09,0.55,30.0,3299
I13079-6218_45,0.54,0.27,30.0,2303
I13079-6218_46,0.95,0.47,30.0,2714
I13079-6218_47,0.14,0.07,30.0,372
I13079-6218_48,0.29,0.15,30.0,749
I13079-6218_49,0.64,0.32,30.0,1962
I13079-6218_50,0.34,0.17,30.0,1050
I13079-6218_51,0.35,0.17,30.0,810
I13079-6218_52,0.52,0.26,30.0,3168
I13079-6218_53,0.16,0.08,30.0,372
I13079-6218_54,0.12,0.06,30.0,372
I13079-6218_55,0.15,0.08,30.0,372
I13079-6218_56,0.42,0.21,30.0,995
I13079-6218_57,0.30,0.15,30.0,686
I13079-6218_58,0.48,0.24,30.0,1917
I13079-6218_59,0.15,0.08,100.0,991
I13079-6218_60,0.37,0.19,30.0,3227
I13079-6218_61,0.56,0.28,20.0,990
I13079-6218_62,0.10,0.05,100.0,509
I13079-6218_63,0.25,0.13,30.0,949
I13079-6218_64,0.51,0.26,30.0,2473
I13079-6218_65,0.87,0.44,20.0,2430
I13079-6218_66,0.07,0.04,100.0,1089
I13079-6218_67,0.19,0.09,30.0,667
I13079-6218_68,0.14,0.07,30.0,895
I13080-6229_1,0.37,0.18,30.0,453
I13080-6229_2,0.92,0.46,30.0,3386
I13080-6229_3,0.68,0.34,20.0,2023
I13080-6229_4,0.50,0.25,30.0,3342
I13080-6229_5,0.13,0.06,100.0,1490
I13080-6229_6,0.61,0.30,20.0,1518
I13080-6229_7,0.70,0.35,30.0,3112
I13080-6229_8,0.42,0.21,20.0,1411
I13080-6229_9,0.27,0.13,20.0,1060
I13080-6229_10,0.28,0.14,20.0,741
I13111-6228_1,0.60,0.30,100.0,358
I13111-6228_2,1.83,0.91,30.0,1040
I13111-6228_3,0.31,0.15,30.0,358
I13111-6228_4,1.46,0.73,30.0,3034
I13111-6228_5,0.76,0.38,30.0,823
I13111-6228_6,0.61,0.31,30.0,1431
I13111-6228_7,0.41,0.20,30.0,1498
I13111-6228_8,0.41,0.21,30.0,1176
I13111-6228_9,0.55,0.28,30.0,1300
I13111-6228_10,0.24,0.12,30.0,699
I13111-6228_11,0.21,0.11,30.0,733
I13111-6228_12,0.48,0.24,30.0,1932
I13111-6228_13,0.18,0.09,30.0,1217
I13111-6228_14,0.20,0.10,30.0,1500
I13111-6228_15,0.47,0.24,30.0,1985
I13111-6228_16,0.21,0.11,30.0,2123
I13111-6228_17,0.29,0.14,30.0,2141
I13111-6228_18,0.19,0.10,30.0,1782
I13111-6228_19,0.23,0.11,30.0,2030
I13111-6228_20,0.21,0.11,30.0,1266
I13111-6228_21,0.12,0.06,30.0,830
I13111-6228_22,0.60,0.30,30.0,3126
I13111-6228_23,0.15,0.07,30.0,842
I13111-6228_24,0.23,0.12,30.0,968
I13111-6228_25,0.16,0.08,30.0,875
I13111-6228_26,0.32,0.16,30.0,4509
I13134-6242_1,67.92,33.96,100.0,1823
I13134-6242_2,7.28,3.64,100.0,1473
I13134-6242_3,1.90,0.95,100.0,2632
I13134-6242_4,0.79,0.39,100.0,1110
I13134-6242_5,1.09,0.54,100.0,1440
I13134-6242_6,0.97,0.48,30.0,1182
I13134-6242_7,1.19,0.59,30.0,1489
I13134-6242_8,0.66,0.33,100.0,1322
I13134-6242_9,1.51,0.76,30.0,3161
I13134-6242_10,0.35,0.17,100.0,1542
I13134-6242_11,0.67,0.34,30.0,1022
I13140-6226_1,6.23,3.11,100.0,599
I13140-6226_2,3.14,1.57,30.0,798
I13140-6226_3,1.75,0.88,30.0,599
I13140-6226_4,2.93,1.47,30.0,873
I13140-6226_5,1.92,0.96,30.0,599
I13140-6226_6,1.49,0.74,30.0,599
I13140-6226_7,2.31,1.15,30.0,883
I13140-6226_8,2.01,1.00,30.0,1195
I13140-6226_9,0.86,0.43,30.0,1041
I13140-6226_10,1.94,0.97,30.0,1407
I13140-6226_11,1.27,0.63,30.0,1545
I13140-6226_12,0.90,0.45,30.0,828
I13140-6226_13,0.85,0.43,30.0,908
I13140-6226_14,1.64,0.82,30.0,1620
I13140-6226_15,0.88,0.44,30.0,1110
I13140-6226_16,0.73,0.37,30.0,1116
I13140-6226_17,1.04,0.52,30.0,2946
I13140-6226_18,0.60,0.30,20.0,887
I13140-6226_19,0.48,0.24,30.0,1412
I13140-6226_20,0.41,0.20,20.0,599
I13140-6226_21,0.21,0.10,30.0,599
I13140-6226_22,0.89,0.45,30.0,4961
I13291-6229_1,1.18,0.59,30.0,458
I13291-6229_2,1.26,0.63,30.0,686
I13291-6229_3,1.13,0.56,30.0,466
I13291-6229_4,0.53,0.26,30.0,593
I13291-6229_5,0.56,0.28,30.0,403
I13291-6229_6,0.32,0.16,30.0,327
I13291-6229_7,0.36,0.18,30.0,327
I13291-6229_8,0.34,0.17,30.0,952
I13291-6229_9,0.14,0.07,30.0,327
I13291-6229_10,0.21,0.11,30.0,1585
I13291-6229_11,0.20,0.10,30.0,1127
I13291-6229_12,0.10,0.05,30.0,935
I13291-6229_13,0.22,0.11,30.0,1993
I13291-6229_14,0.13,0.07,30.0,1209
I13291-6229_15,0.22,0.11,30.0,1528
I13291-6229_16,0.36,0.18,30.0,3241
I13291-6229_17,0.12,0.06,30.0,2481
I13291-6229_18,0.09,0.04,30.0,863
I13291-6249_1,16.06,8.03,100.0,933
I13291-6249_2,7.93,3.96,30.0,933
I13291-6249_3,5.62,2.81,100.0,2703
I13291-6249_4,5.98,2.99,30.0,1878
I13291-6249_5,12.74,6.37,30.0,3805
I13291-6249_6,5.91,2.95,30.0,2633
I13291-6249_7,2.07,1.03,30.0,963
I13291-6249_8,3.26,1.63,30.0,2341
I13291-6249_9,2.31,1.16,30.0,1231
I13291-6249_10,3.95,1.98,30.0,2017
I13291-6249_11,1.69,0.84,30.0,2067
I13291-6249_12,3.37,1.69,30.0,8848
I13291-6249_13,2.70,1.35,30.0,4482
I13291-6249_14,1.67,0.83,30.0,1724
I13291-6249_15,7.78,3.89,30.0,5884
I13291-6249_16,1.57,0.79,30.0,2230
I13291-6249_17,1.49,0.74,30.0,2603
I13291-6249_18,1.89,0.94,30.0,2096
I13291-6249_19,1.19,0.59,30.0,3538
I13291-6249_20,1.55,0.77,30.0,958
I13291-6249_21,2.54,1.27,30.0,6595
I13291-6249_22,1.55,0.77,30.0,1601
I13291-6249_23,0.25,0.12,100.0,933
I13291-6249_24,1.86,0.93,30.0,1701
I13291-6249_25,2.17,1.08,30.0,3449
I13291-6249_26,1.78,0.89,20.0,5396
I13291-6249_27,1.26,0.63,30.0,2253
I13291-6249_28,2.57,1.28,30.0,8598
I13291-6249_29,0.83,0.41,30.0,6260
I13291-6249_30,0.28,0.14,100.0,3310
I13291-6249_31,0.78,0.39,30.0,1411
I13295-6152_1,0.94,0.47,30.0,677
I13295-6152_2,0.57,0.28,30.0,438
I13295-6152_3,0.42,0.21,30.0,531
I13295-6152_4,0.38,0.19,30.0,1143
I13295-6152_5,0.99,0.49,20.0,3538
I13295-6152_6,0.38,0.19,30.0,1392
I13295-6152_7,0.20,0.10,20.0,1156
I13295-6152_8,0.33,0.16,30.0,1650
I13295-6152_9,0.11,0.06,20.0,718
I13295-6152_10,0.21,0.11,20.0,2340
I13471-6120_1,52.78,26.39,100.0,3619
I13471-6120_2,2.33,1.16,100.0,976
I13471-6120_3,8.84,4.42,30.0,1406
I13471-6120_4,5.61,2.80,30.0,896
I13471-6120_5,4.64,2.32,30.0,896
I13471-6120_6,2.08,1.04,30.0,3791
I13471-6120_7,1.50,0.75,30.0,2941
I13471-6120_8,2.29,1.14,30.0,3405
I13471-6120_9,0.68,0.34,30.0,1557
I13471-6120_10,0.56,0.28,20.0,896
I13471-6120_11,0.96,0.48,30.0,3818
I13471-6120_12,0.20,0.10,100.0,988
I13471-6120_13,0.50,0.25,30.0,2068
I13471-6120_14,0.97,0.48,30.0,1700
I13471-6120_15,0.60,0.30,30.0,1708
I13471-6120_16,1.07,0.53,30.0,2556
I13471-6120_17,0.68,0.34,30.0,3192
I13471-6120_18,0.86,0.43,30.0,3660
I13471-6120_19,0.07,0.04,100.0,896
I13484-6100_1,9.01,4.51,100.0,1409
I13484-6100_2,8.37,4.18,100.0,3242
I13484-6100_3,3.66,1.83,100.0,3167
I13484-6100_4,2.37,1.18,30.0,1378
I13484-6100_5,1.56,0.78,100.0,3945
I13484-6100_6,4.89,2.44,30.0,3605
I13484-6100_7,2.94,1.47,30.0,2472
I13484-6100_8,3.71,1.86,30.0,4113
I13484-6100_9,0.45,0.22,100.0,2367
I13484-6100_10,0.28,0.14,100.0,1216
I13484-6100_11,1.12,0.56,100.0,4284
I13484-6100_12,3.03,1.52,30.0,9698
I13484-6100_13,3.15,1.57,30.0,7288
I13484-6100_14,1.83,0.92,30.0,3490
I13484-6100_15,0.42,0.21,100.0,1936
I13484-6100_16,0.33,0.17,100.0,2204
I13484-6100_17,0.90,0.45,30.0,1732
I13484-6100_18,1.79,0.90,30.0,4963
I13484-6100_19,1.09,0.54,30.0,10320
I13484-6100_20,0.72,0.36,30.0,1678
I13484-6100_21,0.99,0.49,30.0,4673
I14013-6105_1,1.14,0.57,100.0,894
