ID,Mcore,err_Mcore,Tcore,Size
20kms~cloud_43,1.10,0.55,88.5,2260
20kms~cloud_44,0.49,0.24,,1090
20kms~cloud_45,3.17,1.58,,3000
20kms~cloud_46,0.66,0.33,,1040
20kms~cloud_47,0.44,0.22,,1150
20kms~cloud_48,0.59,0.29,,1120
20kms~cloud_50,0.27,0.14,157.0,1650
20kms~cloud_51,0.43,0.21,,1150
20kms~cloud_52,1.39,0.69,49.2,2920
20kms~cloud_53,8.33,4.17,,2880
20kms~cloud_54,0.91,0.46,,1490
20kms~cloud_55,0.14,0.07,166.3,1710
20kms~cloud_56,0.73,0.36,68.5,3020
20kms~cloud_57,0.55,0.28,,1090
20kms~cloud_58,0.09,0.04,100.1,1290
20kms~cloud_59,0.11,0.06,76.9,1320
20kms~cloud_60,0.09,0.04,108.8,1290
20kms~cloud_61,0.13,0.07,86.4,1330
20kms~cloud_62,5.83,2.92,,2940
20kms~cloud_63,1.74,0.87,,2180
20kms~cloud_64,1.24,0.62,,1460
20kms~cloud_65,0.72,0.36,63.7,2230
20kms~cloud_66,6.35,3.17,,2280
20kms~cloud_67,1.87,0.94,,1630
20kms~cloud_68,17.17,8.59,,2720
20kms~cloud_69,2.33,1.17,,1710
20kms~cloud_70,0.59,0.29,,1120
20kms~cloud_71,1.72,0.86,,1370
20kms~cloud_72,9.21,4.61,,2810
20kms~cloud_73,7.08,3.54,,2160
20kms~cloud_74,1.10,0.55,,1340
20kms~cloud_75,0.51,0.26,,1060
20kms~cloud_76,4.38,2.19,,2880
20kms~cloud_77,1.11,0.56,,1520
20kms~cloud_78,2.25,1.12,,2270
20kms~cloud_79,0.83,0.41,,1360
20kms~cloud_80,0.90,0.45,,1330
20kms~cloud_81,1.69,0.84,,1540
20kms~cloud_83,0.14,0.07,161.6,2210
20kms~cloud_84,1.17,0.58,,1380
20kms~cloud_85,1.12,0.56,,1500
20kms~cloud_86,0.40,0.20,150.3,2180
20kms~cloud_87,3.42,1.71,,1820
20kms~cloud_88,20.16,10.08,,3570
