ID,Mcore,err_Mcore,Tcore,Size
J281.9021-02.0196,2.00,0.20,24.0,6220
J281.9001-02.0138,1.60,0.20,24.0,3362
J281.9028-02.0167,1.00,0.20,27.0,3144
J281.8969-02.0171,0.50,0.10,24.0,2878
J281.8949-02.0222,1.40,0.10,24.0,4608
J281.9049-02.0096,0.90,0.10,23.0,7512
J281.9024-02.0132,0.90,0.20,26.0,3172
J281.9021-02.0140,1.10,0.20,26.0,3960
J281.8961-02.0202,0.30,0.10,23.0,3168
J281.9031-02.0159,1.10,0.30,29.0,3464
J281.9112-02.0123,0.80,0.20,23.0,2914
J281.9015-02.0235,1.70,0.20,24.0,6608
J281.9238-02.0079,7.40,0.20,100.0,2984
J281.9136-02.0078,3.20,0.10,100.0,3388
J281.9207-02.0058,8.20,0.10,28.0,3602
J281.9239-02.0076,2.30,0.10,100.0,2792
J281.9176-02.0096,2.10,0.10,24.0,2966
J281.9234-02.0070,5.50,0.50,32.0,3404
J281.9145-02.0091,1.60,0.10,25.0,2716
J281.9233-02.0079,2.30,0.40,30.0,2702
J281.9243-02.0082,4.20,0.50,31.0,3736
J281.9274-02.0016,1.40,0.10,25.0,5438
J281.9250-02.0078,1.90,0.30,31.0,3004
J281.9134-02.0075,2.90,0.10,27.0,5410
J281.9217-02.0073,0.90,0.10,27.0,3664
J281.9245-02.0077,1.80,0.30,31.0,4260
J281.9293-02.0007,1.00,0.10,25.0,4258
J281.9210-02.0087,0.70,0.10,26.0,4014
J281.9216-02.0111,1.10,0.10,24.0,6210
J281.9191-02.0102,1.30,0.10,24.0,5998
J281.9200-02.0102,0.70,0.10,24.0,4046
J281.9190-02.0061,0.90,0.10,25.0,4534
J281.9269-01.9949,1.30,0.20,24.0,2896
J281.9140-02.0080,1.70,0.20,27.0,4674
J281.9207-02.0088,0.60,0.10,25.0,3752
J281.9174-02.0007,0.20,0.10,24.0,2590
J281.9318-02.0140,0.60,0.10,24.0,4684
J281.9138-02.0092,0.50,0.10,25.0,2962
J281.9131-02.0078,0.80,0.10,26.0,3324
J281.9163-02.0089,0.50,0.10,24.0,2870
J281.9239-02.0002,0.50,0.10,25.0,6176
J281.9235-02.0067,1.20,0.20,32.0,3530
J281.9251-02.0070,0.70,0.20,32.0,3670
J281.9274-01.9954,1.80,0.20,24.0,3784
J281.9112-02.0124,0.80,0.30,24.0,7334
J281.9152-02.0089,0.40,0.10,25.0,2952
J281.9136-02.0081,1.40,0.20,27.0,5138
J281.9213-02.0070,0.90,0.20,26.0,6116
J290.9332+14.5096,94.20,0.50,300.0,4228
J290.9329+14.5078,193.10,3.50,100.0,4138
J290.9330+14.5102,57.70,2.80,55.0,4378
J290.9228+14.5040,9.60,0.50,23.0,3846
J290.9333+14.5091,16.30,1.50,49.0,4534
J290.9324+14.5055,17.60,3.30,32.0,3826
J290.9326+14.5101,13.60,2.10,48.0,3372
J290.9315+14.5100,11.00,0.80,29.0,4530
J290.9328+14.5074,12.60,5.20,54.0,3218
J290.9300+14.5142,19.70,1.50,25.0,5108
J290.9327+14.5112,6.10,1.00,27.0,2920
J290.9256+14.5113,6.50,0.70,24.0,3404
J290.9276+14.5006,2.20,0.20,23.0,3204
J290.9278+14.5010,4.10,0.40,23.0,3908
J290.9244+14.5149,15.20,1.20,25.0,6114
J290.9320+14.5090,4.60,0.90,32.0,3056
J290.9296+14.5149,7.50,0.90,24.0,5182
J290.9262+14.5153,2.80,0.40,24.0,3234
J290.9288+14.5160,7.90,1.00,24.0,4892
J290.9267+14.5017,1.70,0.20,23.0,3642
J290.9325+14.5131,6.60,0.60,23.0,5318
J290.9350+14.5078,5.30,0.70,26.0,4058
J290.9343+14.5089,7.80,1.10,31.0,5044
J290.9328+14.5100,0.00,0.00,0.0,4546
J290.9427+14.4964,0.00,0.00,0.0,4086
J290.9324+14.5062,0.00,0.00,0.0,3560
J290.9267+14.5022,0.00,0.00,0.0,3594
J290.9335+14.5075,0.00,0.00,0.0,3430
J290.9169+14.5182,63.00,0.60,300.0,3664
J290.9165+14.5182,56.80,1.10,100.0,3248
J290.9107+14.5116,17.20,0.20,100.0,3502
J290.9166+14.5183,53.70,1.10,100.0,3784
J290.9156+14.5181,19.30,1.00,100.0,3302
J290.9092+14.5186,11.40,0.30,32.0,3190
J290.9104+14.5113,10.30,0.20,34.0,3638
J290.9112+14.5127,8.10,0.30,31.0,3036
J290.9188+14.5177,12.40,0.50,41.0,3866
J290.9086+14.5183,3.00,0.10,29.0,3022
J290.9060+14.5052,22.60,0.60,20.0,3388
J290.9092+14.5092,6.10,0.40,31.0,3138
J290.9100+14.5102,3.10,0.10,100.0,4426
J290.9087+14.5184,0.50,0.10,31.0,3036
J290.9246+14.5198,7.80,0.20,31.0,4586
J290.9249+14.5196,2.60,0.10,33.0,2772
